,word,count
460,"교통,수송 > 지하철,전철 > 지하철출구",10
461,"서비스,산업 > 제조업 > 전기,전자 > 정수기제조",10
462,"가정,생활 > 유흥시설 > 나이트,클럽 > 성인댄스클럽",10
463,"가정,생활 > 생활용품점 > 주방용품",10
464,"가정,생활 > 전자제품 > 전자제품판매 > 보일러판매",10
465,"서비스,산업 > 식품 > 식품가공,제조 > 건강식품가공업",9
466,음식점 > 간식 > 도넛 > 크리스피크림도넛,9
467,"사회,공공기관 > 공사,공단 > KORAIL",9
468,"가정,생활 > 미용 > 체형관리 > 약손명가",9
469,음식점 > 치킨 > 교촌치킨,9
470,"가정,생활 > 전자제품 > 전자제품판매 > 삼성스토어",9
471,"가정,생활 > 미용 > 미용실 > 박준뷰티랩",9
472,음식점 > 패스트푸드 > 샌드위치 > 써브웨이,9
473,"교육,학문 > 학교 > 대안학교",9
474,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 하나로마트",9
475,"가정,생활 > 미용 > 미용실 > 박승철헤어스투디오",9
476,"가정,생활 > 생활용품점 > 성인용품",9
477,"스포츠,레저 > 스포츠용품 > 자전거판매점",9
478,"스포츠,레저 > 스포츠시설 > 체육관",9
479,음식점 > 퓨전요리,9
480,음식점 > 패스트푸드 > 맘스터치,9
481,"가정,생활 > 이사 > 용달,사다리차",9
482,"여행 > 관광,명소 > 광장",9
483,"문화,예술 > 영화,영상 > 영화관 > 메가박스",9
484,"교통,수송 > 자동차 > 자동차판매점 > 기아",9
485,"서비스,산업 > 건설,건축 > 시공업체 > 통신시공",9
486,음식점 > 양식 > 해산물,9
487,"사회,공공기관 > 행정기관 > 경찰서 > 치안센터",8
488,"서비스,산업 > 건설,건축 > 건축관련검사서비스",8
489,"음식점 > 간식 > 제과,베이커리 > 아티제",8
490,"의료,건강 > 요양,간병 > 요양원",8
491,"교육,학문 > 학원 > 연기학원",8
492,"가정,생활 > 미용 > 화장품 > 향수",8
493,"가정,생활 > 전자제품 > 전자제품렌탈 > 코웨이",8
494,"서비스,산업 > 건설,건축 > 건설자재 > 셔터,샷시",8
495,"교통,수송 > 지하철,전철 > 수도권5호선",8
496,음식점 > 양식 > 피자 > 피자스쿨,8
497,"교육,학문 > 교육단체 > 체험학습장",8
498,"여행 > 관광,명소 > 테마파크",8
499,"음식점 > 양식 > 스테이크,립",8
500,"의료,건강 > 병원 > 외과",8
501,"서비스,산업 > 제조업 > 의료용품 > 의약품",8
502,"가정,생활 > 미용 > 발관리",8
503,"가정,생활 > 패션 > 의류판매 > 탑텐",8
504,"언론,미디어 > 방송 > 방송국",8
505,"가정,생활 > 미용 > 미용용품",8
506,음식점 > 치킨 > 계동치킨,8
507,부동산 > 주거시설 > 셰어하우스 > 셰어하우스우주,8
508,"서비스,산업 > 건설,건축 > 건설자재 > 건설기계",8
509,"가정,생활 > 백화점 > 롯데백화점",8
510,"가정,생활 > 유아 > 장난감,완구 > 토이저러스",8
511,"서비스,산업 > 여행사 > 하나투어",8
512,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > 롯데슈퍼프레시",8
513,"서비스,산업 > 축산업",8
514,"문화,예술 > 음악 > 음향기기판매점",8
515,"음식점 > 한식 > 육류,고기 > 닭요리 > 일미리금계찜닭",8
516,음식점 > 한식 > 두부전문점,8
517,음식점 > 아시아음식 > 동남아음식 > 태국음식,7
518,"가정,생활 > 패션 > 의류판매 > 스포츠의류 > 아디다스",7
519,음식점 > 카페 > 테마카페 > 떡카페,7
520,"교통,수송 > 운송 > 택배",7
521,"서비스,산업 > 전문대행 > 렌터카 > SK렌터카",7
522,"서비스,산업 > 제조업 > 섬유 > 의류",7
523,여행 > 숙박,7
524,음식점 > 카페 > 커피전문점 > 매머드익스프레스,7
